art;tsc;type;pageid;length
2020 coronavirus pandemic in Iran;21/02/2020;Effect;63175924;152119
2020 coronavirus pandemic in Italy;22/02/2020;Effect;63182945;329747
2020 coronavirus pandemic in South Korea;20/02/2020;Effect;63161776;105446
2020 Hubei lockdowns;23/01/2020;Effect;62907551;79365
Acute respiratory distress syndrome;22/02/2004;Virus/disease/source;482445;46998
Angiotensin-converting enzyme 2;20/09/2005;Molecule/drug;2717089;23346
Asymptomatic carrier;25/05/2004;Concept;679680;16563
Chloroquine;05/03/2005;Molecule/drug;1570321;51740
Contact tracing;11/04/2005;Concept;1724851;14495
Coronavirus;27/03/2003;Virus/disease/source;201983;70817
COVID-19 drug development;21/03/2020;Molecule/drug;63435931;79978
COVID-19 testing;25/02/2020;Molecule/drug;63204759;58926
COVID-19 vaccine;08/03/2020;Molecule/drug;63319438;51513
Herd immunity;18/09/2002;Concept;87175;54871
Huanan Seafood Wholesale Market;23/01/2020;Place/institution;62906880;36394
Li Wenliang;06/02/2020;People;63040806;37727
Remdesivir;19/11/2016;Molecule/drug;52322492;30542
Risk factor;18/08/2004;Concept;909227;10407
Michael J. Ryan (doctor);12/03/2020;People;63356958;22121
Severe acute respiratory syndrome-related coronavirus;16/04/2003;Virus/disease/source;211547;45671
Solidarity Trial;02/04/2020;Concept;63544717;10492
Tedros Adhanom;18/06/2013;People;39712205;89411
Triage;14/10/2001;Concept;30919;64499
Wet market;31/10/2005;Place/institution;3044607;60267
World Health Organization;12/09/2001;Place/institution;33583;111598
2020 coronavirus pandemic in Belgium;02/03/2020;Effect;63262573;144860
2020 coronavirus pandemic in Finland;01/03/2020;Effect;63254676;28372
2020 coronavirus pandemic in France;26/02/2020;Effect;63216759;139108
2020 coronavirus pandemic in Iceland;03/03/2020;Effect;63272036;37430
2020 coronavirus pandemic in Illinois;13/03/2020;Effect;63363261;133323
2020 coronavirus pandemic in North Korea;13/03/2020;Effect;63364407;26579
2020 coronavirus pandemic in Spain;26/02/2020;Effect;63217011;192811
2020 coronavirus pandemic in Sweden;28/02/2020;Effect;63239190;89284
2020 coronavirus pandemic in Switzerland;29/02/2020;Effect;63241849;35935
2020 coronavirus pandemic in Taiwan;22/02/2020;Effect;63178636;100411
2020 coronavirus pandemic in the Czech Republic;03/03/2020;Effect;63272856;181274
2020 coronavirus pandemic in the Republic of Ireland;02/03/2020;Effect;63264158;222222
2020 coronavirus pandemic in the United Kingdom;26/02/2020;Effect;63216936;309140
2020 coronavirus pandemic in the United States;17/02/2020;Effect;63136490;371765
2020 Luzon enhanced community quarantine;20/03/2020;Effect;63425067;95071
Airborne disease;17/08/2009;Virus/disease/source;24016510;13505
C30 Endopeptidase;06/05/2013;Molecule/drug;39311679;8729
Case fatality rate;29/12/2005;Concept;3560385;8651
Centers for Disease Control and Prevention;16/10/2001;Place/institution;6811;54727
Compartmental models in epidemiology;04/09/2004;Concept;958031;39609
Coronaviridae;08/03/2005;Virus/disease/source;1582688;9273
COVID-19 apps;01/04/2020;Virus/disease/source;63536836;59142
COVID-19 in pregnancy;19/03/2020;Virus/disease/source;63415676;21702
Extracorporeal membrane oxygenation;27/01/2004;Concept;444349;33750
Fomite;12/10/2004;Concept;24808275;6001
Hydroxychloroquine;24/07/2005;Molecule/drug;2297980;43944
Lopinavir/ritonavir;23/02/2011;Molecule/drug;30981826;18766
Mathematical modelling of infectious disease;02/09/2004;Concept;951614;25224
Non-pharmaceutical interventions;16/04/2020;Concept;63674823;3304
Open-source ventilator;27/03/2020;Concept;63495620;15999
Pandemic Severity Assessment Framework;05/04/2020;Concept;63572624;2992
Panic buying;24/11/2005;Concept;3235310;16978
Public Health Emergency of International Concern;07/05/2014;Place/institution;42694003;39960
Severe acute respiratory syndrome;15/03/2003;Virus/disease/source;196741;44382
Wuhan Institute of Virology;26/01/2020;Place/institution;62933148;25347
Coronavirus disease 2019;05/02/2020;Virus/disease/source;63030231;221225
Severe acute respiratory syndrome coronavirus 2;09/01/2020;Virus/disease/source;62786585;70269
Social distancing;04/05/2009;Concept;22677497;79510
Transmission (medicine);16/06/2004;Concept;729317;28987
2020 coronavirus pandemic in Arizona;13/03/2020;Effect;63363245;26359
2020 coronavirus pandemic in England;27/03/2020;Effect;63494499;16292
2020 coronavirus pandemic in Guernsey;09/03/2020;Effect;63329395;123291
2020 coronavirus pandemic in Jersey;11/03/2020;Effect;63344613;40485
2020 coronavirus pandemic in Nepal;11/03/2020;Effect;63344447;121172
2020 coronavirus pandemic in South Asia;25/03/2020;Effect;63470305;40609
2020 coronavirus pandemic in Washington (state);06/03/2020;Effect;63301757;117230
2020 coronavirus pandemic on Diamond Princess;09/04/2020;Effect;63607718;42845
2020 Philippine coronavirus testing controversy;22/03/2020;Effect;63443214;36441
Emily Adams;28/03/2020;People;63500042;2525
Jerome Adams;05/10/2016;People;51868661;19513
Bat SARS-like coronavirus WIV1;31/10/2013;Virus/disease/source;40943939;2330
Deborah Birx;21/05/2016;People;50597152;21545
Broad-spectrum antiviral drug;27/03/2020;Molecule/drug;63491844;6457
Robert L. Carroll;18/07/2005;People;2256686;8921
Catch It Bin It Kill It;01/03/2020;Concept;NA;NA
Charles Prince of Wales;30/03/2002;People;NA;NA
Clap for our Carers;02/04/2020;Concept;63548286;12858
Cloth face mask;05/04/2020;Concept;63567907;10047
Coalition for Epidemic Preparedness Innovations;05/09/2016;Place/institution;51522180;56781
COVID-19 drug repurposing research;19/03/2020;Molecule/drug;63430824;37908
Crazy paving (medicine);04/04/2020;Concept;63561373;1560
Ken Cuccinelli;05/01/2007;People;8764867;105324
Manu Dibango;31/10/2003;People;353831;18231
Disease X;11/03/2018;Virus/disease/source;56809815;24396
Kelvin Droegemeier;02/08/2018;People;58052469;11949
Christian Drosten;15/03/2020;People;63383817;16565
Kevin Duffy;26/02/2007;People;21809306;16748
Anthony Fauci;30/11/2004;People;1227250;41231
Favipiravir;23/10/2013;Molecule/drug;40872327;22689
